PURCHASEORDERID,PURCHASEORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
300000000,10,HT-1000,,EUR,1137.64,956,181.64,1,EA,2015-05-07
300000000,20,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-09-05
300000000,30,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-08-06
300000000,40,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-11-02
300000000,50,HT-1091,,EUR,92.82,78,14.82,3,EA,2015-09-11
300000000,60,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-03-14
300000000,70,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-06-21
300000000,80,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-06-27
300000000,90,HT-6100,,EUR,1674.33,1407,267.33,3,EA,2015-04-09
300000000,100,HT-1000,,EUR,3412.92,2868,544.92,3,EA,2015-04-20
300000001,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-05-04
300000001,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-07-15
300000001,30,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-06-29
300000001,40,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-03-25
300000001,50,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-05-20
300000001,60,HT-1002,,USD,3736.6,3140,596.6,2,EA,2014-12-26
300000001,70,HT-1100,,USD,320.94,269.7,51.24,3,EA,2015-11-19
300000001,80,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-01-22
300000001,90,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-11-09
300000001,100,HT-1100,,USD,320.94,269.7,51.24,3,EA,2015-07-05
300000002,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-03-29
300000002,20,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2015-03-23
300000002,30,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-12-09
300000002,40,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-04-22
300000002,50,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2015-09-03
300000002,60,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-06-14
300000002,70,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2015-02-18
300000002,80,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-05-03
300000003,10,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-05-27
300000003,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-12-19
300000003,30,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2014-12-10
300000003,40,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-04-01
300000003,50,HT-1603,,JPY,2023,1700,323,1,EA,2015-05-12
300000004,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-11-10
300000004,20,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-07-30
300000004,30,HT-1603,,JPY,4046,3400,646,2,EA,2015-10-11
300000004,40,HT-1011,,JPY,2735.81,2299,436.81,1,EA,2014-12-24
300000004,50,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-01-24
300000005,10,HT-1601,,MXN,1071,900,171,1,EA,2015-10-02
300000005,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-12-11
300000005,30,HT-1106,,MXN,80.92,68,12.92,2,EA,2015-10-08
300000005,40,HT-1601,,MXN,3213,2700,513,3,EA,2015-07-24
300000005,50,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-08-27
300000005,60,HT-1106,,MXN,80.92,68,12.92,2,EA,2015-10-05
300000005,70,HT-1601,,MXN,3213,2700,513,3,EA,2015-05-10
300000006,10,HT-1003,,EUR,5890.5,4950,940.5,3,EA,2015-02-08
300000006,20,HT-1101,,EUR,95.08,79.9,15.18,1,EA,2015-12-04
300000006,30,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-05-10
300000007,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2015-06-28
300000007,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-11-01
300000007,30,HT-2001,,USD,535.49,449.99,85.5,1,EA,2015-08-03
300000007,40,HT-1007,,USD,1187.62,998,189.62,2,EA,2015-08-30
300000007,50,HT-1102,,USD,164.22,138,26.22,2,EA,2015-08-07
300000007,60,HT-2001,,USD,535.49,449.99,85.5,1,EA,2015-06-17
