SALESORDERID,SALESORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000000,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000000,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000000,30,HT-1002,,USD,3736.6,3140,596.6,I,,2,EA,2015-12-04
500000000,40,HT-1003,,EUR,3927,3300,627,I,,2,EA,2015-12-04
500000000,50,HT-1007,,USD,1781.43,1497,284.43,I,,3,EA,2015-12-04
500000000,60,HT-1010,,EUR,4757.62,3998,759.62,I,,2,EA,2015-12-04
500000000,70,HT-1011,,JPY,5471.62,4598,873.62,I,,2,EA,2015-12-04
500000000,80,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000000,90,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000000,100,HT-1032,,EUR,1231.65,1035,196.65,I,,3,EA,2015-12-04
500000001,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000001,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000001,30,HT-1032,,EUR,821.1,690,131.1,I,,2,EA,2015-12-04
500000001,40,HT-1035,,USD,949.62,798,151.62,I,,2,EA,2015-12-04
500000001,50,HT-1036,,CAD,1023.4,860,163.4,I,,2,EA,2015-12-04
500000001,60,HT-1037,,MXN,3403.4,2860,543.4,I,,2,EA,2015-12-04
500000001,70,HT-1020,,EUR,460.53,387,73.53,I,,3,EA,2015-12-04
500000001,80,HT-1021,,MXN,531.93,447,84.93,I,,3,EA,2015-12-04
500000001,90,HT-1022,,ARS,487.9,410,77.9,I,,2,EA,2015-12-04
500000001,100,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000002,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000002,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000002,30,HT-1042,,EUR,830.62,698,132.62,I,,2,EA,2015-12-04
500000002,40,HT-1050,,RUB,330.82,278,52.82,I,,2,EA,2015-12-04
500000002,50,HT-1051,,USD,117.81,99,18.81,I,,1,EA,2015-12-04
500000002,60,HT-1052,,EUR,404.6,340,64.6,I,,2,EA,2015-12-04
500000002,70,HT-1055,,EUR,117.81,99,18.81,I,,1,EA,2015-12-04
500000002,80,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000003,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000003,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000003,30,HT-1081,,PLN,317.73,267,50.73,I,,3,EA,2015-12-04
500000003,40,HT-1082,,ARS,201.11,169,32.11,I,,1,EA,2015-12-04
500000003,50,HT-1083,,CNY,618.8,520,98.8,I,,1,EA,2015-12-04
500000004,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000004,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000004,30,HT-1102,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000004,40,HT-1103,,EUR,91.63,77,14.63,I,,1,EA,2015-12-04
500000004,50,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000005,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000005,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000005,30,HT-1502,,EUR,5950,5000,950,I,,2,EA,2015-12-04
500000005,40,HT-1110,,USD,31.77,26.7,5.07,I,,3,EA,2015-12-04
500000005,50,HT-1111,,EUR,16.42,13.8,2.62,I,,2,EA,2015-12-04
500000005,60,HT-1112,,GBP,92.82,78,14.82,I,,2,EA,2015-12-04
500000005,70,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000006,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000006,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000006,30,HT-1107,,ARS,106.74,89.7,17.04,I,,3,EA,2015-12-04
500000007,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000007,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000007,30,HT-1032,,EUR,410.55,345,65.55,I,,1,EA,2015-12-04
500000007,40,HT-1035,,USD,949.62,798,151.62,I,,2,EA,2015-12-04
500000007,50,HT-1036,,CAD,1023.4,860,163.4,I,,2,EA,2015-12-04
500000007,60,HT-1037,,MXN,1701.7,1430,271.7,I,,1,EA,2015-12-04
500000007,70,HT-1000,,EUR,3412.92,2868,544.92,I,,3,EA,2015-12-04
500000007,80,HT-1001,,EUR,1486.31,1249,237.31,I,,1,EA,2015-12-04
500000008,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000008,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000008,30,HT-1062,,ARS,26.18,22,4.18,I,,2,EA,2015-12-04
500000008,40,HT-1063,,BRL,49.98,42,7.98,I,,3,EA,2015-12-04
500000008,50,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000008,60,HT-1065,,CHF,61.88,52,9.88,I,,2,EA,2015-12-04
500000009,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000009,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000009,30,HT-1042,,EUR,830.62,698,132.62,I,,2,EA,2015-12-04
500000010,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000010,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000010,30,HT-1072,,USD,361.28,303.6,57.68,I,,3,EA,2015-12-04
500000010,40,HT-1066,,USD,5.95,5,0.95,I,,2,EA,2015-12-04
500000010,50,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000010,60,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000010,70,HT-1069,,JPY,2856,2400,456,I,,3,EA,2015-12-04
500000011,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000011,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000011,30,HT-1106,,MXN,121.38,102,19.38,I,,3,EA,2015-12-04
500000011,40,HT-1107,,ARS,35.58,29.9,5.68,I,,1,EA,2015-12-04
500000012,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000012,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000012,30,HT-1002,,USD,3736.6,3140,596.6,I,,2,EA,2015-12-04
500000012,40,HT-1003,,EUR,5890.5,4950,940.5,I,,3,EA,2015-12-04
500000012,50,HT-1007,,USD,1187.62,998,189.62,I,,2,EA,2015-12-04
500000012,60,HT-1010,,EUR,4757.62,3998,759.62,I,,2,EA,2015-12-04
500000012,70,HT-1011,,JPY,2735.81,2299,436.81,I,,1,EA,2015-12-04
500000012,80,HT-1020,,EUR,307.02,258,49.02,I,,2,EA,2015-12-04
500000012,90,HT-1021,,MXN,531.93,447,84.93,I,,3,EA,2015-12-04
500000013,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000013,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000013,30,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000013,40,HT-1031,,GBP,678.3,570,108.3,I,,2,EA,2015-12-04
500000013,50,HT-1032,,EUR,1231.65,1035,196.65,I,,3,EA,2015-12-04
500000013,60,HT-1035,,USD,949.62,798,151.62,I,,2,EA,2015-12-04
500000013,70,HT-1036,,CAD,1023.4,860,163.4,I,,2,EA,2015-12-04
500000014,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000014,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000014,30,HT-1042,,EUR,415.31,349,66.31,I,,1,EA,2015-12-04
500000014,40,HT-1050,,RUB,165.41,139,26.41,I,,1,EA,2015-12-04
500000014,50,HT-1051,,USD,117.81,99,18.81,I,,1,EA,2015-12-04
500000014,60,HT-1052,,EUR,606.9,510,96.9,I,,3,EA,2015-12-04
500000015,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000015,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000015,30,HT-1060,,EUR,10.71,9,1.71,I,,1,EA,2015-12-04
500000015,40,HT-1061,,EUR,24.99,21,3.99,I,,3,EA,2015-12-04
500000015,50,HT-1062,,ARS,26.18,22,4.18,I,,2,EA,2015-12-04
500000015,60,HT-1063,,BRL,16.66,14,2.66,I,,1,EA,2015-12-04
500000015,70,HT-1064,,CAD,38.08,32,6.08,I,,2,EA,2015-12-04
500000015,80,HT-1065,,CHF,92.82,78,14.82,I,,3,EA,2015-12-04
500000015,90,HT-1066,,USD,5.95,5,0.95,I,,2,EA,2015-12-04
500000016,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000016,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000016,30,HT-1069,,JPY,1904,1600,304,I,,2,EA,2015-12-04
500000017,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000017,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000018,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000018,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000018,30,HT-1102,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000018,40,HT-1103,,EUR,183.26,154,29.26,I,,2,EA,2015-12-04
500000019,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000019,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000019,30,HT-1072,,USD,361.28,303.6,57.68,I,,3,EA,2015-12-04
500000019,40,HT-1073,,EUR,28.56,24,4.56,I,,1,EA,2015-12-04
500000019,50,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000019,60,HT-1081,,PLN,105.91,89,16.91,I,,1,EA,2015-12-04
500000020,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000020,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000020,30,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000020,40,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000020,50,HT-1091,,EUR,30.94,26,4.94,I,,1,EA,2015-12-04
500000020,60,HT-1092,,EUR,53.55,45,8.55,I,,1,EA,2015-12-04
500000020,70,HT-1110,,USD,21.18,17.8,3.38,I,,2,EA,2015-12-04
500000020,80,HT-1111,,EUR,24.63,20.7,3.93,I,,3,EA,2015-12-04
500000020,90,HT-1112,,GBP,92.82,78,14.82,I,,2,EA,2015-12-04
500000021,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000021,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000021,30,HT-1115,,CAD,99.96,84,15.96,I,,2,EA,2015-12-04
500000022,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000022,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000023,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000023,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000023,30,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000023,40,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000024,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000024,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000024,30,HT-1118,,ARS,282.03,237,45.03,I,,3,EA,2015-12-04
500000024,40,HT-1120,,EUR,928.2,780,148.2,I,,3,EA,2015-12-04
500000024,50,HT-1137,,RUB,2927.4,2460,467.4,I,,2,EA,2015-12-04
500000024,60,HT-1138,,USD,1441.09,1211,230.09,I,,1,EA,2015-12-04
500000024,70,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000025,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000025,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000025,30,HT-1002,,USD,3736.6,3140,596.6,I,,2,EA,2015-12-04
500000025,40,HT-1003,,EUR,3927,3300,627,I,,2,EA,2015-12-04
500000025,50,HT-1007,,USD,1781.43,1497,284.43,I,,3,EA,2015-12-04
500000025,60,HT-1010,,EUR,4757.62,3998,759.62,I,,2,EA,2015-12-04
500000025,70,HT-1011,,JPY,5471.62,4598,873.62,I,,2,EA,2015-12-04
500000025,80,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000025,90,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000025,100,HT-1032,,EUR,1231.65,1035,196.65,I,,3,EA,2015-12-04
500000026,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000026,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000026,30,HT-1032,,EUR,821.1,690,131.1,I,,2,EA,2015-12-04
500000026,40,HT-1035,,USD,949.62,798,151.62,I,,2,EA,2015-12-04
500000026,50,HT-1036,,CAD,1023.4,860,163.4,I,,2,EA,2015-12-04
500000026,60,HT-1037,,MXN,3403.4,2860,543.4,I,,2,EA,2015-12-04
500000026,70,HT-1020,,EUR,460.53,387,73.53,I,,3,EA,2015-12-04
500000026,80,HT-1021,,MXN,531.93,447,84.93,I,,3,EA,2015-12-04
500000026,90,HT-1022,,ARS,487.9,410,77.9,I,,2,EA,2015-12-04
500000026,100,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000027,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000027,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000027,30,HT-1042,,EUR,830.62,698,132.62,I,,2,EA,2015-12-04
500000027,40,HT-1050,,RUB,330.82,278,52.82,I,,2,EA,2015-12-04
500000027,50,HT-1051,,USD,117.81,99,18.81,I,,1,EA,2015-12-04
500000027,60,HT-1052,,EUR,404.6,340,64.6,I,,2,EA,2015-12-04
500000027,70,HT-1055,,EUR,117.81,99,18.81,I,,1,EA,2015-12-04
